"AÑO: 2017 ""PP3""";;;;;
PERIODO 01/01 al 30/11;;;;;
;;;;;
DIA;HORA;CONDUCTIVIDAD (mS/cm);pH;ALCALINIDAD (ppm CaCO3);TURBIDEZ (UNT)
1/1/2017; 08:49;-;7,38;32;129
; 11:57;-;7,43;32;100
; 15:53;-;7,57;32;106
; 19:34;-;7,51;32;107
; 23:45;-;7,39;34;112
; 03:30;-;7,36;34;114
2/1/2017; 08:25;-;7,36;32;90,2
; 11:55;-;7,42;32;81,5
; 16:08;-;7,49;32;90,1
; 19:03;-;7,49;32;96,8
; 23:35;-;7,43;34;97,4
; 03:45;-;7,46;34;94,8
3/1/2017; 07:10;-;7,37;32;92,3
; 11:05;-;7,38;30;81,3
; 16:40;-;7,36;30;96,2
; 20:15;-;7,49;30;86,5
; 23:25;-;7,37;34;92,7
; 03:45;-;7,39;34;97,6
4/1/2017; 07:15;-;7,26;32;65,4
; 11:10;-;7,24;30;73,1
; 15:59;-;7,42;32;75,3
; 19:53;-;7,48;32;81,6
; 23:58;-;7,44;32;69,8
; 03:20;-;7,48;32;77,6
5/1/2017; 08:45;-;-;-;-
; 11:30;-;7,3;32;105
; 16:25;-;7,55;36;124
; 20:18;-;7,5;36;131
; 23:53;-;7,53;36;130
; 03:34 ;-;7,63;36;153
6/1/2017; 07:30;-;7,43;40;158
; 11:55;-;7,46;40;215
; 16:27;-;7,56;40;223
; 20:30;-;7,61;40;212
; 23:53;-;7,6;40;210
; 03:33;-;7,65;40;216
7/1/2017; 07:55;-;7,53;40;186
; 12:10;-;7,5;40;225
; 15:50;-;7,7;40;213
; 20:30;-;7,62;40;232
; 23:53;-;7,64;40;222
; 03:34;-;7,63;40;218
8/1/2017; 08:30;-;7,47;40;209
; 12:20;-;7,51;40;203
; 16:00;-;7,63;40;226
; 20:35;-;7,63;40;225
; 23.53;-;7,64;38;191
; 03:34;-;7,62;38;162
9/1/2017; 07:55;-;7,37;36;181
; 12:00;-;7,41;34;157
; 15:20;-;7,58;36;197
; 19:50;-;7,51;36;196
; 23:54;-;7,5;36;176
; 03:48 ;-;7,56;36;171
10/1/2017; 09:00;-;7,39;36;173
; 12:55;-;7,36;34;156
; 15:25;-;7,37;34;159
; 20:10;-;7,43;34;142
; 23:58;-;7,53;34;140
; 03:38;-;7,63;34;142
11/1/2017; 07:50;-;7,58;34;162
; 11:45;-;7,52;34;156
; 15:35;-;7,41;34;154
; 20:25;-;7,36;34;148
; 00.06;-;7,6;34;165
; 03:50;-;7,61;34;173
12/1/2017; 07:37;-;7,56;36;196
; 12:20;-;7,57;36;197
; 16:30;-;7,44;34;196
; 20:25;-;7,46;32;192
; 23:50;-;7,51;34;181
; 03:50;-;7,66;34;19
13/1/2017; 07:35;-;7,52;34;200
; 11:40;-;7,49;34;207
; 16:20;-;7,33;34;203
; 20:30;-;7,38;32;203
; 23:40;-;7,63;34;203
; 03:50;-;7,64;34;165
14/1/2017; 07:25;-;7,56;34;179
; 11:40;-;7,49;34;176
; 16:25;-;7,4;32;194
; 20:20;-;7,31;34;213
; 23:50;-;7,63;34;212
; 03:59;-;7,69;34;215
15/1/2017; 08:30;-;7,35;32;242
;11:35;-;7,46;34;262
; 15:30;-;7,46;34;273
; 20:20;-;7,39;34;382
; 23:40;-;7,66;40;370
; 03.48;-;7,6;42;424
16/1/2017; 08:28;-;7,89;48;400
;12:15;-;7,81;46;402
; 16:35;-;7,72;40;446
; 20:50;-;7,63;40;475
; 23:43;-;7,88;42;566
;03:50;-;7,88;48;557
17/1/2017; 08:28;-;7,87;48;558
; 12:04;-;7,88;46;628
; 16:15;-;7,92;44;691
; 19:55;-;7,8;44;7,24
; 23:40;-;7,92;44;660
; 03:50;-;7,99;44;606
18/1/2017; 08:23;-;7,96;44;662
; 11:54;-;7,95;44;604
; 16:10;-;7,83;44;652
; 20:20;-;7,91;44;737
; 00:40;-;7,78;44;532
; 04:35;-;7,82;42;563
19/1/2017; 08:24;-;7,88;42;793
; 12:04;-;7,94;44;503
; 16:20;-;7,76;44;564
; 20:15;-;7,66;44;635
; 00:25;-;7,78;46;507
; 04:35;-;7,82;46;518
20/1/2017; 08:23;-;7,9;44;577
; 12:03;-;7,9;44;595
; 16:05;-;7,93;46;678
; 20:10;-;7,89;46;832
; 23:30;-;7,74;44;657
; 04:00;-;7,75;44;652
21/1/2017; 08:39;-;7,99;44;678
; 11:44;-;8,05;44;656
; 15:30;-;7,89;44;683
; 19:50;-;7,91;44;677
;-;-;-;-;-
;-;-;-;-;-
22/1/2017; 08:04;-;8;42;596
; 11:34;-;8,13;42;630
; 15:25;-;7,99;44;617
; 19:20;-;7,94;44;670
; 00:25;-;7,73;42;646
; 04:10;-;7,84;42;652
23/1/2017; 09:50;-;8,07;42;703
; 11:55;-;8,03;42;720
; 15:40;-;7,9;44;742
; 19:10;-;7,92;44;753
; 23:25;-;7,84;46;671
; 04:20;-;7,92;46;751
24/1/2017;08:25;-;8,03;44;871
; 12:00;-;8,05;44;832
; 16:44;-;8,12;44;839
; 20:08;-;7,98;44;940
; 23:35;-;7,95;44;924
; 04:25;-;7,92;46;1030
25/1/2017; 08:30;-;8,01;46;893
; 12:08;-;8,04;46;915
; 16:44;-;8,09;44;924
; 20:25;-;8,06;44;926
; 23:30;-;7,87;44;929
; 03:30;-;7,93;44;906
26/1/2017;-;-;-;-;-
; 13:10;-;-;-;-
; 16:34;-;7,98;42;663
;20:23;-;7,99;42;745
; 23:30;-;7,87;42;710
; 03:20;-;7,93;44;743
27/1/2017; 09:07;-;7,95;42;920
; 12:01;-;8,05;42;758
; 16:33;-;8,06;42;674
; 20:24;-;7,98;44;756
; 23:25;-;7,93;44;789
; 03:40;-;7,96;44;739
28/1/2017; 08:48;-;8,01;42;698
; 12:50;-;8,03;42;675
; 16:15;-;8,05;44;778
;19:54;-;8,1;44;800
; 23:25;-;7,83;44;810
; 03:40;-;7,93;44;823
29/1/2017; 08:40;-;8,03;44;668
; 12:11 ;-;8,01;44;697
; 16:28;-;8,02;44;938
; 20:58;-;8,05;44;815
; 23:30;-;7,96;44;863
; 03:35;-;7,97;44;842
30/1/2017;08:00;-;7,8;44;687
; 11:10;-;7,81;42;-
; 16:28;-;8;42;840
; 20:04;-;8,1;44;742
; 23:25;-;7,93;44;819
; 03:20;-;7,98;44;796
31/1/2017; 07:30;-;7,73;40;457
; 11:55;-;7,91;38;467
; 16:00;-;8,04;40;664
; 20:00;-;8,03;40;670
; 23:30;-;7,99;42;657
;  03:40;-;7,92;44;690
1/2/2017; 08:20;-;-;-;-
; 11:50;-;7,87;44;522
; 16:00;-;7,98;40;587
; 19:48;-;7,95;40;553
; 23:58;-;7,99;42;536
; 03:28;-;8,04;42;518
2/2/2017; 07:40;-;7,86;44;466
; 11:45;-;7,79;44;485
; 16:08;-;8,12;40;536
; 19:52;-;7,8;40;496
; 00:04;-;8,08;42;508
; 03.44;-;8,06;42;495
3/2/2017; 08.00;-;7,93;44;423
; 11:55;-;7,8;42;428
; 16:00;-;7,68;42;480
; 20:00;-;7,58;44;384
; 23:44;-;7,79;44;386
; 03:58;-;7,82;44;428
4/2/2017; 07:50;-;7,87;44;320
; 11:45;-;7,86;44;331
; 15:42;-;7,73;42;327
; 20:08;-;7,77;42;362
; 23:43;-;7,84;44;341
; 03:35;-;7,84;44;291
5/2/2017; 07:55;-;7,73;42;284
; 12.05;-;7,8;44;260
; 16:09;-;7,84;40;303
;20:11;-;7,8;40;288
; 23:38;-;7,84;42;242
; 03:24;-;7,85;42;286
6/2/2017; 08:00;-;7,48;40;296
; 11:50;-;7,37;38;349
; 16:00;-;7,43;36;387
; 20.07;-;7,33;36;302
; 23:54;-;7,41;38;290
; 03:24;-;7,43;38;286
7/2/2017; 08:15;-;7,46;38;296
;12:30;-;7,44;38;319
; 16:00;-;7,43;38;317
; 20:45;-;7,46;38;312
; 23:54;-;7,43;38;268
; 03:28;-;7,45;38;265
8/2/2017; 07:40;-;7,38;38;241
; 11:50;-;7,39;38;256
; 15:55;-;7,36;38;246
; 20:10;-;7,9;38;269
; 00:03;-;7,37;36;241
; 03:52;-;7,43;36;228
9/2/2017; 08:20;-;7,38;36;219
; 12:20;-;7,29;36;239
; 16:00;-;7,37;36;215
; 20:00;-;7,36;38;214
; 00:07;-;7,29;36;302
;-;-;7,42;36;263
10/2/2017; 07:40;-;7,35;36;198
; 11:40;172,3;7,16;36;206
; 15:45;160,4;7,57;38;204
; 19:55;172,1;7,58;38;218
; 23:59;165,2;7,39;36;178
; 03:59;165,6;7,18;36;169
11/2/2017; 07:45;170,2;7,26;36;198
; 11:25;173,2;7,26;36;193
; 15:45;173,1;7,42;36;189
; 20:05;179,4;7,62;38;194
; 00:06;178,9;7,3;36;214
; 03:59;182,5;7,33;36;229
12/2/2017; 07:35;176,3;7,27;36;193
; 11:40;172,7;7,31;36;207
; 15:45;170,7;7,59;36;196
; 19:35;179,6;7,48;36;209
; 23:47;179,1;7,26;36;290
; 03:58;180,2;7,32;36;310
13/2/2017; 08:34;181;7,46;38;266
; 12:24;-;7,49;38;262
; 15:55;182,4;7,58;38;252
; 19:20;174,8;7,6;38;243
; 23:40;191,8;7,49;38;374
; 03:40;197,7;7,4;38;352
14/2/2017; 08:20;188,9;7,47;38;274
; 12:19;190,1;7,49;38;309
; 16:30;210;7,33;36;328
; 20:10;200;7,29;36;332
; 23:50;189;7,29;36;330
; 03:50;196,1;7,46;36;292
15/2/2017; 08:28;189,9;7,39;38;268
; 12:30;198,7;7,43;38;258
; 15:40;204;7,33;36;248
; 19:10;204;7,37;34;264
; 23:55;199,2;7,38;36;258
; 04:15;200;7,44;36;251
16/2/2017; 08:10;193;7,32;34;276
; 12:10 ;220;7,36;34;292
; 16:05;221;7,39;36;268
; 20:12;206;7,37;36;264
; 23:45;197,1;7,29;38;246
;04:20;204;7,34;38;268
17/2/2017; 08:22;195,8;7,4;34;238
; 12:28;233;7,15;38;220
; 16:40;266;7,21;34;241
; 20:00;249;7,15;34;271
; 23:45;248;7,15;34;231
; 04:25;248;7,15;34;246
18/2/2017; 08:23;224;7,12;34;222
; 11:48;230;7,1;36;205
; 15:10;224;7,21;34;239
; 19:25;219;7,27;34;249
; 00:30;217;7,13;38;203
; 04:25 ;214;7,18;38;196
19/2/2017; 08:28;189,1;7,19;36;190
; 11.43;180,5;7,21;36;172
; 15:20;179;7,26;34;204
; 19:30;175;7,23;34;209
; 00:25;189,3;7,2;36;197
; 04:30 ;195;7,12;36;203
20/2/2017; 08:50;187,6;7,25;36;234
; 12:43;192;7,3;38;272
; 15:45;199,6;7,59;38;201
; 19:50;200;7,53;38;200
; 23:40;200;7,05;36;336
; 04.05;204;7,09;36;357
21/2/2017; 08:20;198,1;7,42;38;453
; 12:20;185,2;7,47;40;559
; 15:24;185,8;7,33;38;538
; 19:44;182,2;7,4;38;524
; 00.05;196,3;7,24;36;564
;04.35;196,3;7,19;36;576
22/2/2017; 07:50;194,1;7,4;40;630
; 12:10;184;7,42;40;694
; 16:34;186,3;7,33;38;598
; 20:24;188,1;7,4;38;595
; 23:40;198,6;7,49;38;588
; 03.45;197,9;7,51;38;600
23/2/2017; 07:50;169,9;7,4;42;664
; 12:20;179,3;7,48;40;651
; 16:08;181,6;7,37;38;731
; 19:47;171,8;7,41;38;746
; 23:40;184,9;7,39;38;704
; 03:45;190,1;7,52;38;694
24/2/2017; 08:36;176,1;7,35;38;664
; 12.25;177,7;7,25;38;667
; 16:40;181,1;7,36;38;674
; 20:28;177,4;7,33;38;624
; 23:45;181,9;7,56;38;624
; 03:45;182,2;7,52;38;634
25/2/2017; 08:40;185,8;7,35;36;545
; 12:08;170,6;7,33;36;480
; 16:24;177,5;7,36;38;430
; 19:58;174,6;7,36;38;400
; 23:55;180,5;7,45;38;420
; 04.00;185,2;7,4;38;432
26/2/2017; 08:40;177,6;7,3;36;373
; 12:14;178,8;7,29;36;401
; 16.23;181;7,31;36;338
; 19:54;179,1;7,34;36;334
; 23.50;178,4;7,41;38;319
; 03:50;182,1;7,41;36;315
27/2/2017; 08:30;200;7,34;38;293
; 12:25;204;7,3;38;289
; 16:24;188,9;7,33;10;320
; 19:28;182,7;7,32;38;316
; 23:50;188,9;7,36;36;322
; 03:50;193,9;7,48;38;332
28/2/2017; 07:20;215;7,4;42;390
; 11:30;223;7,37;42;420
; 16:12;208;7,46;42;473
; 20.10;217;7,39;44;517
; 00:00;212;7,44;38;521
; 03:50;213;7,49;38;525
1/3/2017; 08:15;219;7,21;42;593
; 12:30;230;7,25;42;675
; 16:20;234;7,37;42;776
; 20:10;223;7,39;42;693
; 23:54;225;7,45;42;678
; 03:38;209;7,48;42;685
2/3/2017; 08:00;227;7,19;44;704
; 11:30;231;7,19;44;705
; 16:25;238;7,49;44;1013
; 20:37;227;7,37;44;980
; 23:53;-;7,5;44;770
; 03:45;-;7,59;44;804
3/3/2017; 07:35;247;7,45;46;785
; 12:30;230;7,39;46;874
; 16:38;201;7,62;44;893
; 20:08;202;7,53;44;-
; 23:58;180,4;7,77;44;806
; 03:33;168,6;7,69;44;739
4/3/2017; 08:20;201;7,42;46;682
; 12:20;202;7,45;46;713
; 16:22;191,5;7,58;46;852
; 20:20;202;7,63;46;894
; 23:58;174,1;7,63;44;800
; 03:44;176,3;7,65;44;720
5/3/2017; 08:25;197,5;7,53;42;687
; 12:35;199,4;7,48;42;746
; 16:22;190,2;7,46;44;807
; 20:37;183,9;7,44;42;668
; 23:58;172,1;7,72;42;730
; 03:44;176,4;7,68;42;716
6/3/2017; 08:50;192,6;7,61;42;742
; 12:30;204;7,57;42;801
; 16:23;188,4;7,42;44;1010
; 20:20;189,9;7,39;44;947
; 23:40;190,7;7,56;40;871
; 03:45;192,1;7,59;42;924
7/3/2017; 08:55;191,4;7,59;42;762
; 12:20;276;7,22;40;779
; 16:15;251;7,22;46;682
; 20:25;232;7,23;46;756
; 23:35;228;7,49;44;877
; 03:20;230;7,4;40;698
8/3/2017; 08:30;210;7,5;38;742
; 12:05;225;7,39;38;838
; 16:30;226;7,37;40;792
;  20:25 ;211;7,36;42;832
; 23:50;196,9;7,46;42;76
; 03:40;201;7,58;44;1015
9/3/2017; 07:25;212;7,58;42;1135
; 12:20;216;7,48;42;1057
; 16:30;203;7,42;40;987
; 20:45 ;198,3;7,36;40;1078
; 23:47;166,8;7,69;42;1152
; 03:57;162,1;7,56;42;994
10/3/2017; 08:40;148,6;7,47;42;931
;12:25;159,1;7,4;40;998
; 16:20;179,7;7,39;42;896
; 19:40;188,3;7,42;42;871
; 23:50;186,8;7,39;40;780
; 04.00;182,9;7,63;40;903
11/3/2017; 07:40;-;-;-;-
; 11:50;289;7,51;44;896
; 15:30;193;7,39;40;653
; 19:20;282;7,41;40;773
; 00:01;260;7,26;40;679
; 04:00;266;7,36;40;688
12/3/2017; 07.50;280;7,49;40;687
; 11:50;293;7,52;42;816
; 15:20;250;7,37;40;737
; 19:40;228;7,42;42;756
; 00:01;191,7;7,45;40;759
; 03:55;197,7;7,33;40;912
13/3/2017; 07:45;196,6;7,49;42;869
; 11:55;202;7,42;40;1271
; 16:10;205;7,44;40;950
; 20:00;201;7,45;42;975
; 23:57;195,1;7,48;42;1092
; 04:00;187,8;7,4;42;945
14/3/2017; 07:55;188,6;7,25;36;822
; 11:50;194,4;7,2;36;939
; 15:45;189,7;7,3;36;917
; 19:40;193,1;7,33;34;907
; 23:58;192,6;7,3;38;903
; 04:00;168,1;7,36;36;877
15/3/2017; 08:15;171,8;7,18;34;829
; 12:15;192,9;7,34;34;846
; 15:35;191,6;7,41;34;879
; 19:30;183,1;7,43;36;827
; 23:45;183;7,35;34;937
; 04:30;183;7,36;36;873
16/3/2017; 07.45;171,5;7,35;34;761
; 12:00;169,8;7,4;34;814
; 15:45;177,3;7,31;36;843
; 19:40;180,6;7,28;34;827
; 23:35;163,8;7,3;36;768
