Planta Potabilizadora Nº3;;;;;
AÑO 2019;;;;;
;;;;;
DIA;HORA;CONDUCTIVIDAD (mS/cm);pH;ALCALINIDAD (ppm CaCO3);TURBIDEZ (UNT)
1/1/2019;;;;;
;Hora: 07:55;194,1;7,24;34;395
;Hora: 12:00;186,3;7,21;34;386
;Hora: 18:40;184,8;7,16;34;308
;Hora: 21:30;182,6;7,29;34;320
;Hora: 23:45;190,4;7,20;34;392
;Hora: 04:40;193,4;7,22;34;389
2/1/2019;Hora: 06:30;;;;
;Hora: 10:15;186,4;7,15;36;326
;Hora: 13:05;185,2;7,18;36;345
;Hora: 16:48;183,4;7,29;34;348
;Hora: 21:02;183,0;7,39;34;310
;Hora: 23:50;190,2;7,28;34;328
;Hora: 05:10;188,7;7,22;34;336
3/1/2019;Hora: 06:30;;;;
;Hora: 09:30;191,3;7,20;36;445
;Hora: 13:10;193,2;7,18;36;410
;Hora: 16:55;192,4;7,20;38;410
;Hora: 20:48;193,0;7,32;38;456
;Hora: 00:10;170,6;7,28;38;406
;Hora: 05:10;173,9;7,31;38;415
4/1/2019;Hora: 06:30;;;;
;Hora: 08:50;183,9;7,26;38;361
;Hora: 13:00;190,4;7,21;38;332
;Hora: 15:55;191,6;7,31;38;358
;Hora: 20:55;190,8;7,21;38;376
;Hora: 23:40;178,4;7,20;38;381
;Hora: 05:10;180,6;7,23;38;379
5/1/2019;;;;;
;Hora: 07:55;203,0;7,17;38;410
;Hora: 12:45;204,0;7,21;38;423
;Hora: 16:56;210,0;7,22;38;389
;Hora: 20:50;228,0;7,38;38;366
;Hora: 23:55;201,0;7,26;38;392
;Hora: 05:05;204,0;7,30;38;400
6/1/2019;;;;;
;Hora: 07:45;206,0;7,19;38;395
;Hora: 13:10;209,0;7,23;36;387
;Hora: 16:55;212,0;7,18;36;318
;Hora: 20:49;214,0;7,20;36;349
;Hora: 00:10;210,0;7,19;36;351
;Hora: 04:55;206,0;7,26;36;354
7/1/2019;;;;;
;Hora: 08:10;228,0;7,39;36;505
;Hora: 13:16;233,0;7,28;36;401
;Hora: 16:58;229,0;7,20;36;361
;Hora: 20:52;233,0;7,32;36;376
;Hora: 00:15;228,0;7,31;36;379
;Hora: 05:00;232,0;7,34;36;385
8/1/2019;Hora: 06:25;;;;
;Hora: 10:20;233,0;7,20;36;418
;Hora: 13:20;224,0;7,21;36;430
;Hora: 16:00;224,0;7,24;40;415
;;;;;
;;;;;
;;;;;
9/1/2019;;;;;
;;;;;
;Hora: 13:15;;;;
;Hora: 16:05;;;;
;Hora: 20:10;198,1;7,24;38;368
;Hora: 01:10;179,6;7,22;36;421
;Hora: 04:45;174,1;7,25;38;436
10/1/2019;Hora: 06:30;;;;
;Hora: 09:00;144,9;7,25;38;410
;Hora: 13:30;140,3;7,20;36;375
;Hora: 16:10;125,2;7,23;36;312
;Hora: 20:35;123,8;7,26;36;303
;Hora: 01:40;121,6;7,30;34;286
;Hora: 05:29;120,1;7,25;34;256
11/1/2019;;;;;
;Hora: 09:05;119,7;7,01;32;310
;Hora: 12:50;116,9;6,90;30;319
;Hora: No registró;117,6;6,88;30;335
;Hora: 20:20;115,6;6,85;30;346
;Hora: 01:41;117,9;7,27;30;320
;Hora: 05:12;116,8;7,12;30;296
12/1/2019;;;;;
;Hora: 08:00;117,9;6,96;30;319
;Hora: 12:20;116,3;6,91;30;326
;Hora: 16:10;118,3;6,89;30;321
;Hora: 20:30;120,6;6,85;30;338
;Hora: 01:39;119,8;7,27;34;333
;Hora: 05:00;121,6;7,22;34;320
13/1/2019;;;;;
;Hora: 08:00;117,3;6,89;30;319
;Hora: 12:40;116,3;6,90;30;327
;Hora: 16:30;122,6;7,05;30;365
;Hora: 20:20;125,3;6,97;30;387
;Hora: 01:05;123,9;7,13;30;296
;Hora: 05:02;121,8;7,28;30;316
14/1/2019;;;;;
;Hora: 09:15;136,9;6,94;30;290
;Hora: 13:15;140,3;7,02;30;287
;Hora: 16:25;172,8;7,09;30;273
;Hora: 20:15;144,2;6,98;30;292
;Hora: 01:00;140,6;7,22;30;318
;Hora: 04:10;138,6;7,29;30;302
15/1/2019;;;;;
;Hora: 08:50  ;;;;
;Hora: 12:35;139,3;6,90;30;340
;Hora: 15:35;149,4;6,92;30;396
;Hora: 20:25;147,3;6,98;30;394
;Hora: 00:59;142,8;7,03;30;351
;Hora: 04:58;140,8;7,12;30;318
16/1/2019;;;;;
;Hora: 08:30;157,9;7,03;30;380
;Hora: 12:50;154,6;7,12;30;377
;Hora: 15:35;170,0;7,19;30;363
;Hora: 19:45;167,2;7,16;30;384
;Hora: 00:05;164,8;7,22;32;389
;Hora: 04:35;162,5;7,19;32;365
17/1/2019;Hora: 06:26;;;;
;Hora: 09:49;169,4;7,26;30;370
;Hora: 13:08;168,1;7,36;32;508
;Hora: 15:30;167,6;7,20;32;501
;Hora: 20.30;164,2;7,13;32;497
;Hora: 00:05;154,8;7,19;32;310
;Hora: 04:35;155,9;7,22;32;267
18/1/2019;;;;;
;Hora: 08:15;147,2;7,16;32;319
;Hora: 11:50;146,2;7,15;32;281
;Hora: 16:00;148,7;7,19;30;309
;Hora: 19:55;147,7;7,13;30;302
;Hora: 00:45;148,3;7,18;32;306
;Hora: 04:50;146,1;7,19;32;291
19/1/2019;;;;;
;Hora: 08:20;149,3;7,12;30;309
;Hora: 12:00;142,6;7,17;30;313
;Hora: 16:10;149,7;7,13;30;319
;Hora: 19:55;150,6;7,18;30;327
;Hora: 00:10;141,2;7,16;30;329
;Hora: 04:40;135,8;7,21;30;316
20/1/2019;;;;;
;Hora: 08:25;146,2;7,19;32;351
;Hora: 13:10;148,6;7,23;30;364
;Hora: 16:00;143,9;7,20;30;360
;Hora: 19:40;147,9;7,18;30;352
;Hora: 00:10;148,3;7,21;30;325
;Hora: 04:40;144,2;7,24;30;358
21/1/2019;;;;;
;Hora: 07:40;143,9;7,25;30;374
;Hora: 11:40;154,3;7,27;32;362
;Hora: 15:25;167,9;7,15;30;387
;Hora: 19:40;169,7;7,13;30;398
;Hora: 00:15;163,2;7,19;32;319
;Hora: 04:45;151,6;7,15;32;294
22/1/2019;;;;;
;;;;;
;Hora: 12:50;137,8;7,11;32;309
;Hora: 15:45;132,5;7,15;32;300
;Hora: 20:05;130,1;7,17;32;308
;Hora: 00:40;139,6;7,14;32;296
;Hora: 05:15;140,6;7,19;32;279
23/1/2019;Hora: 06:30;;;;
;Hora: 10:15;131,8;7,00;32;312
;Hora: 13:08;130,8;7,01;32;290
;Hora: 16:25;132,4;7,10;32;285
;Hora: 20:00;130,2;7,14;32;288
;Hora: 00:00;132,9;7,16;32;293
;Hora: 04:55;140,1;7,18;32;296
24/1/2019;Hora: 06:20;;;;
;Hora: 10:08;138,7;7,04;30;259
;Hora: 13:09;149,8;7,11;30;332
;Hora: 15:40;138,8;7,15;30;296
;Hora: 20:35;136,9;7,20;30;294
;Hora: 00:10;142,7;7,15;30;288
;Hora: 04:40;140,1;7,17;30;292
25/1/2019;Hora: 06:18;;;;
;Hora: 09:20;138,3;6,96;30;233
;Hora: 12:58;137,4;7,21;30;290
;Hora: 16:05;135,9;7,26;30;297
;Hora: 20:15;136,8;7,21;30;306
;Hora: 23:50;146,9;7,15;30;316
;Hora: 04:50;149,3;7,17;30;320
26/1/2019;;;;;
;Hora: 09:02;148,2;7,28;30;314
;Hora: 12:45;149,6;7,25;30;329
;Hora: 16:00;151,8;7,19;30;343
;Hora: 20:55;158,6;7,21;30;338
;Hora: 23:30;166,9;7,08;36;338
;Hora: 04:50;162,7;7,06;36;342
27/1/2019;;;;;
;Hora: 09:28;166,7;7,29;32;350
;Hora: 12:38;168,8;7,20;32;375
;Hora: 16:15;161,3;7,12;32;362
;Hora: 20:00;163,1;7,19;32;370
;Hora: 00:50;167,6;7,16;32;318
;Hora: 04:55;166,1;7,13;32;333
28/1/2019;Hora: 06:30;;;;
;Hora: 08:55;179,0;7,21;40;340
;Hora: 13:15;176,8;7,15;40;365
;Hora: 16:20;181,9;7,18;38;381
;Hora: 20:20;188,9;7,21;38;390
;Hora: 00:00;184,9;7,19;36;398
;Hora: 04:45;187,2;7,13;36;401
29/1/2019;Hora: 06:30;;;;
;Hora: 09:20;180,2;7,19;38;437
;Hora: 12:00;193,9;7,18;38;466
;Hora: 16:48;191,8;7,21;36;491
;Hora: 20:50;196,8;7,26;36;496
;Hora: 23:00;196,9;7,22;36;493
;Hora: 04:45;198,8;7,26;36;498
30/1/2019;Hora: 06:30;;;;
;Hora: 10:00;208,0;7,15;36;513
;Hora: 13:15;210,0;7,19;36;556
;Hora: 17:39;216,0;7,18;36;528
;Hora: 20:39;209,0;7,12;36;510
;Hora: 00:20;213,0;7,16;36;525
;Hora: 05:20;217,0;7,21;36;529
31/1/2019;Hora: 06:20;;;;
;Hora: 09:40;211,0;7,16;44;463
;Hora: 13:10;214,0;7,15;44;481
;Hora: 17:38;219,0;7,24;44;496
;Hora: 20:58;224,0;7,22;44;556
;Hora: 23:45;220,0;7,19;44;562
;Hora: 05:20;223,0;7,21;44;552
1/2/2019;Hora: 06:20;;;;
;Hora: 09:55;218,0;7,19;44;452
;Hora: 13:10;220,0;7,15;44;467
;Hora: 17:18;218,0;7,31;44;498
;Hora: 20:50;212,0;7,26;44;520
;Hora: 23:40;215,0;7,18;44;529
;Hora: 05:10;217,0;7,21;44;537
2/2/2019;;;;;
;Hora: 08:15;205,0;7,19;44;407
;Hora: 13:00;201,0;7,23;42;391
;Hora: 16:59;206,0;7,10;42;366
;Hora: 21:08;214,0;7,16;44;322
;Hora: 23:05;209,0;7,19;44;350
;Hora: 05:15;211,0;7,21;44;368
3/2/2019;;;;;
;Hora: No registró;201,0;7,21;42;410
;Hora: 12:35;203,0;7,15;42;459
;Hora: 16:30;209,0;7,12;42;506
;Hora: 20:50;216,0;7,22;42;536
;Hora: 23:35;203,0;7,22;44;521
;Hora: 05:05;208,0;7,26;44;538
4/2/2019;Hora: 06:30;;;;
;Hora: 09:40;204,0;7,21;40;393
;Hora: 13:10;201,0;7,19;40;364
;Hora: 16:21;204,0;7,16;40;340
;Hora: 20:45;209,0;7,12;40;312
;Hora: 00:00;200,0;7,19;40;330
;Hora: 05:10;202,0;7,16;40;381
5/2/2019;;;;;
;Hora: 08:50;213,0;7,21;40;410
;Hora: 13:15;210,0;7,18;40;396
;Hora: 16:20;207,0;7,21;40;367
;Hora: 20:10;203,0;7,16;40;352
;Hora: 23:55;201,0;7,20;40;369
;Hora: 05:20;203,0;7,19;40;386
6/2/2019;;;;;
;Hora: 08:10;207,0;7,36;40;381
;Hora: 12:20;210,0;7,30;40;390
;Hora: 16:10;207,0;7,21;40;362
;Hora: 20:15;204,0;7,14;40;374
;Hora: 00:35;215,0;7,02;40;310
;Hora: 04:40;210,0;7,21;40;330
7/2/2019;;;;;
;Hora: 09:30;209,0;7,18;42;395
;Hora: 12:55;213,0;7,15;42;381
;Hora: 16:25;;;;
;Hora: 20:35;216,0;7,19;42;407
;Hora: 01:38;206,0;7,18;40;408
;Hora: 04:50;210,0;7,13;40;350
8/2/2019;;;;;
;Hora: 08:25;199,8;7,12;40;340
;Hora: 12:25;204,0;7,27;38;291
;Hora: 16:25;202,0;7,22;40;332
;Hora: 20:10;198,3;7,19;40;318
;Hora: 00:40;197,9;7,28;40;381
;Hora: 04:40;194,8;7,20;40;360
9/2/2019;;;;;
;Hora: 07:10;195,0;7,26;40;389
