PP3;;;;;
PERIODO 01  al 31 de Enero de 2020;;;;;
;;;;;
DIA;HORA;CONDUCTIVIDAD (mS/cm);pH;ALCALINIDAD (ppm CaCO3);TURBIDEZ (UNT)
1/1/2020;;;;;
; 08:00;423;7,01;32;261
; 12.45;427;6,94;32;268
; 16:50;449;7,03;34;280
; 20.48;452;7,06;34;292
; 00:20;419;7,12;34;279
; 05:00;421;7,16;34;283
2/1/2020; 06:20;;;;
; 09:10;416;6,95;34;223
; 12:50;451;6,98;34;207
; 17:25;458;6,95;34;200
; 20:45;608;7,08;34;169
; 23:55;489;7,08;34;211
; 04:55;492;7,03;34;215
3/1/2020; 06:20;;;;
; 10:00;575;6,97;36;171
; 13:00;626;6,93;40;164
; 16.38;810;6,97;40;201
; 20:30;796;7,18;40;230
; 00:00;620;7,00;40;176
; 05:10;623;6,99;40;177
4/1/2020;;;;;
; 08:10;648;6,97;40;154
; 12:30;640;7,00;40;142
; 16:39;710;7,11;42;200
; 20:40;716;7,15;42;229
; 00:10;647;7,00;42;145
; 05.20;649;7,03;42;149
5/1/2020;;;;;
; 08:25;681;6,95;40;163
; 12.50;673;7,01;40;157
; 16:40;732;7,02;40;160
; 20:39;737;7,08;40;178
; 00:20;690;6,97;42;162
; 05:10;627;6,99;42;170
6/1/2020; 06:30;;;;
; 09:30;-;-;-;-
; 13.00;340;6,88;32;89,2
; 17:29;348;7,02;34;93,1
; 21:29;445;6,97;34;86,1
; 23:45;337;6,95;34;88,6
; 05:00;339;6,97;34;89,1
7/1/2020; 06.20;;;;
; 09:15;324;6,90;32;99,6
; 12.10;324;6,90;32;88,9
; 16.20;321;6,97;32;82,6
; 20:30;326;6,91;32;85,3
; 00:20;325;7,00;32;88,9
; 04:35;320;6,96;32;86,7
8/1/2020; 06:20;;;;
; 09.20;315;7,13;32;117
; 12:00;321;6,92;30;121
; 16.30;327;6,90;32;123
; 20:10;331;6,96;32;136
; 00:40;320;7,02;32;142
; 04.48;322;6,97;32;152
9/1/2020; 06:30;;;;
; 08:55;316;6,95;30;210
; 12:35;321;6,97;30;217
; 16.40;325;7,12;34;212
; 20:30;328;7,12;34;206
; 00:28;320;6,96;36;316
; 04:29;316;6,90;36;229
10/1/2020; 06:25;;;;
; 09:40;-;-;-;-
; 13:15;311;6,90;36;269
; 16:10;308;6,97;36;259
; 20:20;305;6,95;36;264
; 00:30;304;6,93;34;248
; 04:30;314;6,98;34;266
11/1/2020;;;;;
; 08:40;309;6,89;36;262
; 11:50;317;6,92;36;277
; 16:15;302;6,98;36;261
; 20:25;296;6,93;36;254
; 00:38;286;6,94;34;249
; 04:30;284;6,92;34;232
12/1/2020;;;;;
; 08:20;290;6,93;36;267
; 12:25;292;6,96;36;283
; 16:35;301;6,91;34;268
; 20:15;304;6,98;34;257
; 00:28;304;6,96;34;242
; 04:20;313;6,93;34;229
13/1/2020;06:30;;;;
; 10:15;311;7,03;40;292
; 13:00;318;7,06;38;315
; 16:35;329;7,05;40;305
; 20:20;322;7,02;40;302
; 00:38;338;6,98;40;296
; 04:30;335;6,90;40;281
14/1/2020;;;;;
