PP3;;;;;
PERIODO 01  al 31 de ENERO de 2021;;;;;
;;;;;
DIA;HORA;CONDUCTIVIDAD (mS/cm);pH;ALCALINIDAD (ppm CaCO3);TURBIDEZ (UNT)
1/1/2021; 07:05;;;;
; 08:30;192,6;7,4;30;45,1
; 12:35;191,4;7,4;30;42,7
; 17:00;192,4;7,4;30;40,8
; 21:00;196,1;7,4;30;46,2
; 00:30;186,0;7,4;30;41,6
; 05:00;185,1;7,4;30;45,9
2/1/2021; 06:50;;;;
; 08:55;224;7,4;32;42,6
; 12:35;220;7,4;32;45,8
; 17:00;236;7,4;32;41,6
; 21:00;221;7,4;32;35,1
; 00:35;267;7,4;30;43,6
; 04:35;314;7,4;30;46,8
3/1/2021; 06:30;;;;
; 08:05;349;7,4;30;46,4
; 12:40;426;7,4;30;48,3
; 17:00;421;7,4;30;43,6
; 20:38;418;7,4;30;52,1
; 01:00;412;7,4;30;43,3
; 04:40;418;7,4;30;49,6
4/1/2021; 06:30;;;;
; 09:20;478;7,6;36;54,7
; 12:30;497;7,6;36;57,2
; 16:09;483;7,6;36;53,8
; 20:00;473;7,6;36;40,3
; 00:00;471;7,6;36;50,1
; 05:05;477;7,6;36;47,1
5/1/2021; 06:15;;;;
; 08:35;384;7,4;32;37,2
; 12:55;381;7,4;32;36,1
; 16:30;384;7,4;32;38,4
; 20:35;395;7,4;32;36,8
;  00:35;361;7,6;32;37,2
; 04:30;326;7,6;32;38,9
6/1/2021; 06:15;;;;
; 09:20;367;7,2;34;36,3
; 12:10;373;7,4;34;38,6
; 16:25;378;7,4;32;40,2
; 20:35;385;7,4;32;41,6
; 00:40;336;7,4;32;60,1
; 04:50;330;7,4;32;63,1
7/1/2021; 07:00;;;;
;  09::00;300;7,4;38;103
; 12:38;340;7,4;38;110
; 16:30;345;7,4;40;119
; 20:40;349;7,4;40;126
; 00:29;338;7,4;42;191
; 04:38;342;7,4;42;236
8/1/2021;;;;;
;" 09:;00";363;7,4;44;261
; 12:00;375;7,4;44;292
; 16:40 ;379;7,4;44;336
; 20:35;372;7,4;42;349
; 00:29;364;7,4;42;411
; 04:50;373;7,4;42;430
9/1/2021; 06:10;;;;
;-;366;7,4;42;431
; 13:10;370;7,4;42;428
; 16:35;406;7,4;44;392
; 20:40;432;7,4;42;381
; 00:58;351;7,4;42;381
; 05:00;361;7,4;42;361
10/1/2021; 06:30;;;;
; 08:40;380;7,2;42;461
; 12:50;362;7,2;42;469
; 16:30;368;7,4;42;419
; 20:35;345;7,4;42;428
; 00:58;361;7,4;42;486
; 05:02;352;7,4;42;458
11/1/2021; 06:40;;;;
; 08:35;391;7,4;48;333
; 12:50;388;7,4;48;360
; 16:20;342;7,4;46;406
; 20:45;324;7,4;44;398
; 01:00;402;7,4;44;415
; 04:49;393;7,4;44;426
12/1/2021; 06:15;;;;
; 08:40;340;7,4;46;385
; 12:55;346;7,4;46;382
; 17:30;341;7,4;46;389
;  20:55;346;7,4;46;398
; 00:25;333;7,4;46;306
; 04:48;325;7,4;46;374
13/1/2021; 06:20;;;;
; 08:35;329;7,6;46;396
; 13:20;328;7,6;46;399
; 16:35;330;7,6;46;416
; 20:30;322;7,6;46;483
; 00:05;290;7,6;46;526
; 04:35;254;7,6;-;702
