nm. A
800.000000. -0.002693
799.000000. -0.002854
798.000000. -0.003015
797.000000. -0.003153
796.000000. -0.003332
795.000000. -0.003488
794.000000. -0.003649
793.000000. -0.003829
792.000000. -0.004012
791.000000. -0.004175
790.000000. -0.004342
789.000000. -0.004467
788.000000. -0.004711
787.000000. -0.004871
786.000000. -0.005056
785.000000. -0.005266
784.000000. -0.005456
783.000000. -0.005645
782.000000. -0.005793
781.000000. -0.005987
780.000000. -0.006222
779.000000. -0.006370
778.000000. -0.006577
777.000000. -0.006760
776.000000. -0.006972
775.000000. -0.007115
774.000000. -0.007349
773.000000. -0.007527
772.000000. -0.007780
771.000000. -0.007972
770.000000. -0.008166
769.000000. -0.008329
768.000000. -0.008521
767.000000. -0.008755
766.000000. -0.008929
765.000000. -0.009120
764.000000. -0.009263
763.000000. -0.009474
762.000000. -0.009660
761.000000. -0.009838
760.000000. -0.010011
759.000000. -0.010220
758.000000. -0.010402
757.000000. -0.010564
756.000000. -0.010743
755.000000. -0.010954
754.000000. -0.011153
753.000000. -0.011318
752.000000. -0.011484
751.000000. -0.011517
750.000000. -0.011607
749.000000. -0.011833
748.000000. -0.011976
747.000000. -0.012178
746.000000. -0.012363
745.000000. -0.012463
744.000000. -0.012654
743.000000. -0.012804
742.000000. -0.013004
741.000000. -0.013132
740.000000. -0.013270
739.000000. -0.013421
738.000000. -0.013579
737.000000. -0.013723
736.000000. -0.013913
735.000000. -0.014026
734.000000. -0.014139
733.000000. -0.014300
732.000000. -0.014414
731.000000. -0.014586
730.000000. -0.014726
729.000000. -0.014881
728.000000. -0.015018
727.000000. -0.015138
726.000000. -0.015294
725.000000. -0.015433
724.000000. -0.015561
723.000000. -0.015700
722.000000. -0.015792
721.000000. -0.015896
720.000000. -0.016065
719.000000. -0.016174
718.000000. -0.016305
717.000000. -0.016440
716.000000. -0.016573
715.000000. -0.016718
714.000000. -0.016795
713.000000. -0.016950
712.000000. -0.017000
711.000000. -0.017128
710.000000. -0.017250
709.000000. -0.017426
708.000000. -0.017542
707.000000. -0.017582
706.000000. -0.017686
705.000000. -0.017804
704.000000. -0.017933
703.000000. -0.017994
702.000000. -0.018078
701.000000. -0.018183
700.000000. -0.018250
699.000000. -0.018370
698.000000. -0.018382
697.000000. -0.018531
696.000000. -0.018586
695.000000. -0.018638
694.000000. -0.018708
693.000000. -0.018675
692.000000. -0.018764
691.000000. -0.018799
690.000000. -0.018805
689.000000. -0.018770
688.000000. -0.018675
687.000000. -0.018633
686.000000. -0.018562
685.000000. -0.018421
684.000000. -0.018249
683.000000. -0.017961
682.000000. -0.017657
681.000000. -0.017328
680.000000. -0.016801
679.000000. -0.016294
678.000000. -0.015634
677.000000. -0.014871
676.000000. -0.013965
675.000000. -0.013043
674.000000. -0.012224
673.000000. -0.011577
672.000000. -0.011175
671.000000. -0.011089
670.000000. -0.011318
669.000000. -0.011922
668.000000. -0.012669
667.000000. -0.013562
666.000000. -0.014487
665.000000. -0.015517
664.000000. -0.016557
663.000000. -0.017700
662.000000. -0.018047
661.000000. -0.018255
660.000000. -0.018506
659.000000. -0.018673
658.000000. -0.018837
657.000000. -0.019095
656.000000. -0.019224
655.000000. -0.019398
654.000000. -0.019559
653.000000. -0.019739
652.000000. -0.019880
651.000000. -0.020045
650.000000. -0.020152
649.000000. -0.020288
648.000000. -0.020394
647.000000. -0.020562
646.000000. -0.020682
645.000000. -0.020816
644.000000. -0.020988
643.000000. -0.021072
642.000000. -0.021129
641.000000. -0.021299
640.000000. -0.021428
639.000000. -0.021548
638.000000. -0.021662
637.000000. -0.021727
636.000000. -0.021938
635.000000. -0.021945
634.000000. -0.022096
633.000000. -0.022205
632.000000. -0.022326
