nm. A
800.000000. -1.919102
799.000000. -1.917711
798.000000. -1.917666
797.000000. -1.918627
796.000000. -1.917934
795.000000. -1.917254
794.000000. -1.918705
793.000000. -1.917337
792.000000. -1.917943
791.000000. -1.918856
790.000000. -1.919567
789.000000. -1.918582
788.000000. -1.918667
787.000000. -1.919382
786.000000. -1.919558
785.000000. -1.919626
784.000000. -1.920389
783.000000. -1.921069
782.000000. -1.921842
781.000000. -1.921512
780.000000. -1.921366
779.000000. -1.921673
778.000000. -1.921762
777.000000. -1.921696
776.000000. -1.921752
775.000000. -1.923289
774.000000. -1.922467
773.000000. -1.923130
772.000000. -1.922866
771.000000. -1.923310
770.000000. -1.923998
769.000000. -1.924080
768.000000. -1.924031
767.000000. -1.925276
766.000000. -1.923942
765.000000. -1.925270
764.000000. -1.924971
763.000000. -1.924845
762.000000. -1.924910
761.000000. -1.926016
760.000000. -1.926445
759.000000. -1.927082
758.000000. -1.926604
757.000000. -1.928607
756.000000. -1.928674
755.000000. -1.928130
754.000000. -1.927171
753.000000. -1.929203
752.000000. -1.929615
751.000000. -1.928955
750.000000. -1.929009
749.000000. -1.928500
748.000000. -1.928308
747.000000. -1.929187
746.000000. -1.928865
745.000000. -1.928898
744.000000. -1.930596
743.000000. -1.932583
742.000000. -1.931281
741.000000. -1.932023
740.000000. -1.932037
739.000000. -1.932013
738.000000. -1.934008
737.000000. -1.932542
736.000000. -1.933494
735.000000. -1.933867
734.000000. -1.933422
733.000000. -1.933412
732.000000. -1.933749
731.000000. -1.935643
730.000000. -1.933897
729.000000. -1.937158
728.000000. -1.935490
727.000000. -1.935720
726.000000. -1.937241
725.000000. -1.937187
724.000000. -1.937410
723.000000. -1.935911
722.000000. -1.938893
721.000000. -1.939467
720.000000. -1.939466
719.000000. -1.937677
718.000000. -1.939062
717.000000. -1.940846
716.000000. -1.938756
715.000000. -1.942165
714.000000. -1.941557
713.000000. -1.940840
712.000000. -1.942886
711.000000. -1.943532
710.000000. -1.943641
709.000000. -1.943398
708.000000. -1.941582
707.000000. -1.943471
706.000000. -1.942792
705.000000. -1.944894
704.000000. -1.944189
703.000000. -1.944949
702.000000. -1.943547
701.000000. -1.945138
700.000000. -1.945591
699.000000. -1.945288
698.000000. -1.946524
697.000000. -1.944932
696.000000. -1.946636
695.000000. -1.946508
694.000000. -1.946892
693.000000. -1.947615
692.000000. -1.948014
691.000000. -1.946461
690.000000. -1.947645
689.000000. -1.948924
688.000000. -1.946064
687.000000. -1.946627
686.000000. -1.949282
685.000000. -1.950039
684.000000. -1.948676
683.000000. -1.948982
682.000000. -1.947397
681.000000. -1.949854
680.000000. -1.948561
679.000000. -1.949724
678.000000. -1.950763
677.000000. -1.950995
676.000000. -1.950917
675.000000. -1.950429
674.000000. -1.951414
673.000000. -1.951346
672.000000. -1.950887
671.000000. -1.951541
670.000000. -1.951530
669.000000. -1.951575
668.000000. -1.952662
667.000000. -1.952648
666.000000. -1.952265
665.000000. -1.951498
664.000000. -1.951504
663.000000. -1.951346
662.000000. -1.950989
661.000000. -1.950844
660.000000. -1.950973
659.000000. -1.950814
658.000000. -1.950996
657.000000. -1.950565
656.000000. -1.952846
655.000000. -1.951529
654.000000. -1.951416
653.000000. -1.950936
652.000000. -1.953421
651.000000. -1.951680
650.000000. -1.949879
649.000000. -1.952623
648.000000. -1.953799
647.000000. -1.953458
646.000000. -1.953471
645.000000. -1.952650
644.000000. -1.953998
643.000000. -1.951942
642.000000. -1.951957
641.000000. -1.954156
640.000000. -1.953741
639.000000. -1.952912
638.000000. -1.955026
637.000000. -1.952602
636.000000. -1.954090
635.000000. -1.953845
634.000000. -1.952860
633.000000. -1.954504
632.000000. -1.954104
631.000000. -1.955028
630.000000. -1.953437
629.000000. -1.953542
628.000000. -1.954550
627.000000. -1.954713
626.000000. -1.954561
625.000000. -1.953777
624.000000. -1.952991
623.000000. -1.954932
622.000000. -1.955420
621.000000. -1.955261
620.000000. -1.956245
619.000000. -1.954297
618.000000. -1.955671
617.000000. -1.958368
616.000000. -1.954161
615.000000. -1.955199
614.000000. -1.956077
613.000000. -1.955758
612.000000. -1.955910
611.000000. -1.956390
610.000000. -1.957417
609.000000. -1.953087
608.000000. -1.955430
607.000000. -1.953119
606.000000. -1.955197
605.000000. -1.954703
604.000000. -1.956090
603.000000. -1.956029
602.000000. -1.956081
601.000000. -1.957423
600.000000. -1.954221
599.000000. -1.956144
598.000000. -1.957659
597.000000. -1.956994
596.000000. -1.955105
595.000000. -1.957731
594.000000. -1.957878
593.000000. -1.956190
592.000000. -1.956900
591.000000. -1.958841
590.000000. -1.955308
589.000000. -1.959174
588.000000. -1.958218
587.000000. -1.957217
586.000000. -1.960103
585.000000. -1.958002
584.000000. -1.957179
583.000000. -1.957997
582.000000. -1.956385
581.000000. -1.958543
580.000000. -1.959044
579.000000. -1.956860
578.000000. -1.958599
577.000000. -1.961151
576.000000. -1.958399
575.000000. -1.959505
574.000000. -1.957745
573.000000. -1.958832
572.000000. -1.958594
571.000000. -1.959642
570.000000. -1.959089
569.000000. -1.959102
568.000000. -1.959342
567.000000. -1.959511
566.000000. -1.958504
565.000000. -1.958046
564.000000. -1.957954
563.000000. -1.959070
562.000000. -1.959686
561.000000. -1.960106
560.000000. -1.961757
559.000000. -1.963678
558.000000. -1.960613
557.000000. -1.956722
556.000000. -1.960951
555.000000. -1.961609
554.000000. -1.958786
553.000000. -1.960248
552.000000. -1.962242
551.000000. -1.962749
550.000000. -1.962973
549.000000. -1.963021
548.000000. -1.962476
547.000000. -1.963701
546.000000. -1.962527
545.000000. -1.961563
544.000000. -1.963150
543.000000. -1.963617
542.000000. -1.962951
541.000000. -1.965251
540.000000. -1.964299
539.000000. -1.962206
538.000000. -1.962344
537.000000. -1.963801
536.000000. -1.962980
535.000000. -1.966196
534.000000. -1.964306
533.000000. -1.964991
532.000000. -1.963635
531.000000. -1.966025
530.000000. -1.963370
529.000000. -1.966032
